name,count,categories,price,sample_urls,sources
"2
En Çok Favorilenen 8. Ürün
sitehome Katlanabilir Tek Kişilik Yer Yatağı 10cm Sünger Yatak Fonksiyonel
🚛
Hızlı teslimat yapılıyor!
🚀
3 günde 660 kişi ekledi!
🧡
53,3B kişi favoriledi!
👀
24 saatte 768 kişi inceledi!
annebebekyolculuguu öneriyor!
🚛
Hızlı teslimat yapılıyor!
4.2
(1344)
Trendyol Plus'a Özel
Sepette
1.180,87 TL
1.243,02 TL
90 x 190
+5 Boyut",3,,2,https://www.trendyol.com/sitehome/katlanabilir-tek-kisilik-yer-yatagi-10cm-sunger-yatak-fonksiyonel-p-818675670?boutiqueId=61&merchantId=821346,proje_analiz_top40.json
"En Çok Değerlendirilen 1. Ürün
Mobpazar Basic Full Ortopedik Lux Bamboo Yaylı Yatak Ölçü Seçenekli, Aynı Gün Kargo
🚛
Hızlı teslimat yapılıyor!
🚀
3 günde 1,3B kişi ekledi!
🧡
71,7B kişi favoriledi!
👀
24 saatte 813 kişi inceledi!
🚛
Hızlı teslimat yapılıyor!
4.2
(6608)
Sepette %3 İndirim
58 TL Kupon
Kargo Bedava
Sepette %3 İndirim
Sepette
1.939,03 TL
1.999 TL
90 x 190
+14 Boyut",3,,1,https://www.trendyol.com/mobpazar/basic-full-ortopedik-lux-bamboo-yayli-yatak-olcu-secenekli-ayni-gun-kargo-p-137658737?boutiqueId=61&merchantId=105056,proje_analiz_top40.json
"En Çok Satan 1. Ürün
Bamboo Âlâ Ev Modası Bebek Yatağı
🚛
Hızlı teslimat yapılıyor!
🚀
3 günde 960 kişi ekledi!
🧡
21,4B kişi favoriledi!
👀
24 saatte 984 kişi inceledi!
gizemdemiroglu öneriyor!
🚛
Hızlı teslimat yapılıyor!
4.3
(1651)
Kargo Bedava
386 TL
45 X 80
+7 Boyut",3,,1,https://www.trendyol.com/bamboo/ala-ev-modasi-bebek-yatagi-p-52347059?boutiqueId=61&merchantId=171940,proje_analiz_top40.json
"En Çok Satan 2. Ürün
US. SLEEPING Full Ortopedik Bamboo Classic Yaylı Yatak (21CM)
Ortopedik ve Yaylı
4.5
(4787)
Kargo Bedava
1.999 TL
90 x 190
+9 Boyut",3,,2,https://www.trendyol.com/us-sleeping/full-ortopedik-bamboo-classic-yayli-yatak-21cm-p-32871173?boutiqueId=61&merchantId=111328,proje_analiz_top40.json
"En Çok Ziyaret Edilen 1. Ürün
Yataş
 Spinal Support Bamboo Roll Pack Pocket Yaylı Yatak
Yaylı
4.4
(4632)

Son 14 Günün En Düşük Fiyatı

200 TL Kupon
Kargo Bedava

Son 14 Günün En Düşük Fiyatı

3.799 TL
3.999 TL
90 x 190
+6 Boyut",3,,1,https://www.trendyol.com/yatas/spinal-support-bamboo-roll-pack-pocket-yayli-yatak-p-183334791?boutiqueId=61&merchantId=106771,proje_analiz_top40.json
"En Çok Ziyaret Edilen 3. Ürün
Genel Markalar Tam Ortopedik Sünger Yatak 12 Cm Tek Kişilik Bebek Yatak
🚛
Hızlı teslimat yapılıyor!
🚀
3 günde 920 kişi ekledi!
🧡
30,3B kişi favoriledi!
👀
24 saatte 1,2B kişi inceledi!
🚛
Hızlı teslimat yapılıyor!
4.4
(2894)
Sepette %50 İndirim
100 TL Kupon
Kargo Bedava
Sepette %50 İndirim
Sepette
699 TL
1.398 TL
45 x 85
+21 Boyut",3,,3,https://www.trendyol.com/genel-markalar/tam-ortopedik-sunger-yatak-12-cm-tek-kisilik-bebek-yatak-p-192190869?boutiqueId=61&merchantId=109929,proje_analiz_top40.json
"En Çok Ziyaret Edilen 4. Ürün
LUPER
 Ultra Ortopedik Bel ve Sırt Destekli İstanbul Luxuria Pedli Roll Pack Yaylı Yatak
Ortopedik ve Yaylı
4.4
(909)
24 TL Kupon
Kargo Bedava
Çok Al Az Öde
24 TL Kupon
2.453 TL
90 x 190
+9 Boyut",3,,4,https://www.trendyol.com/luper/ultra-ortopedik-bel-ve-sirt-destekli-istanbul-luxuria-pedli-roll-pack-yayli-yatak-p-416264769?boutiqueId=61&merchantId=730090,proje_analiz_top40.json
"En Çok Ziyaret Edilen 9. Ürün
Heyner Ortopedik Yaylı Yatak Kuş Tüyü Pedli Organic Cotton Yatak Tek Kişilik Çift Kişilik Çocuk Yataları
🚛
Hızlı teslimat yapılıyor!
🚀
3 günde 869 kişi ekledi!
🧡
15,7B kişi favoriledi!
👀
24 saatte 955 kişi inceledi!
🚛
Hızlı teslimat yapılıyor!
4.2
(269)
1450 TL'ye 50 TL İndirim
100 TL Kupon
Kargo Bedava
Çok Al Az Öde
1450 TL'ye 50 TL İndirim
Sepette
1.949 TL
1.999 TL
60 x 120
+61 Boyut",3,,9,https://www.trendyol.com/heyner/ortopedik-yayli-yatak-kus-tuyu-pedli-organic-cotton-yatak-tek-kisilik-cift-kisilik-cocuk-yatalari-p-52985835?boutiqueId=61&merchantId=108851,proje_analiz_top40.json
"2
Başarılı Satıcı
Yataş
 Spinal Support Classic Rollpack Pocket Yaylı Yatak
Yaylı
4.5
(681)
200 TL Kupon
Kargo Bedava
200 TL Kupon
3.399 TL
90 x 190
+3 Boyut",2,,2,https://www.trendyol.com/yatas/spinal-support-classic-rollpack-pocket-yayli-yatak-p-365745580?boutiqueId=61&merchantId=106771,proje_analiz_top40.json
"En Çok Değerlendirilen 2. Ürün
ASROYALLÜKS Nano Full Ortopedik Yaylı Yatak Ölçü Seçenekli, Çift Taraflı Kullanım (20 Cm)
Ortopedik
4.2
(4869)
37 TL Kupon
Kargo Bedava
37 TL Kupon
1.899 TL
90 x 190
+17 Boyut",2,,2,https://www.trendyol.com/asroyalluks/nano-full-ortopedik-yayli-yatak-olcu-secenekli-cift-tarafli-kullanim-20-cm-p-132310145?boutiqueId=61&merchantId=157142,proje_analiz_top40.json
1 Adet Karışık Renk - Yüzük Tesbih Zikir Matik Namaz Zikir,1,,1400,/zikirmatik/1-adet-karisik-renk-yuzuk-tesbih-zikir-matik-namaz-zikir-p-978704674,trendyol_top10.json
1 adet hediyelik inci istiridye anahtarlık anneler günü yılbaşı ogretmenler gunu kadinlar gunu,1,,1499,/hen-gsm/1-adet-hediyelik-inci-istiridye-anahtarlik-anneler-gunu-yilbasi-ogretmenler-gunu-kadinlar-gunu-p-992755477,trendyol_top10.json
Apple iPhone 15 256 GB (Apple Türkiye Garantili),1,,54989,/urun/apple-iphone-15-256-gb-apple-turkiye-garantili-43821352?magaza=bittibitiyor,n11_top10.json
Apple iPhone 17 256 GB (Apple Türkiye Garantili),1,,76561,/urun/apple-iphone-17-256-gb-apple-turkiye-garantili-100679600?magaza=bittibitiyor,n11_top10.json
Apple iPhone 17 256 GB (Apple Türkiye Garantili) Beyaz,1,,77798,/urun/apple-iphone-17-256-gb-apple-turkiye-garantili-beyaz-100918363?magaza=bittibitiyor,n11_top10.json
